forward bid,hydrogen production
-10.0,0.0
2.770311813814179,0.0
-10.0,0.0
5.631150834198259,0.0
9.96626719946244,0.0
0.0,10.0
0.0,10.0
0.0,10.0
8.426877941388948,0.0
7.377445825828989,0.0
-1.6999574389492267,10.0
8.690414911287972,0.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
3.6530701777165953,0.0
0.856062253990352,0.0
5.93650049077464,0.0
2.9888644585850233,0.0
1.968667730394028,0.0
-4.997917961164887,10.0
-7.94037008461383,10.0
0.0,10.0
4.510984159005942,0.0
4.697933893321763,0.0
5.8774808328684784,0.0
1.2338188827946808,0.0
3.124862968142081,0.0
2.426560758282093,0.0
6.8514901732390445,0.0
2.0537062769216843,0.0
8.493250807608643,0.0
10.0,0.0
2.4619641673342207,0.0
-10.0,10.0
8.225146499865275,0.0
10.0,0.0
8.894574040143935,1.1054259598560652
8.54973265498095,1.45026734501905
0.0,10.0
0.0,10.0
10.0,0.0
0.0,10.0
-10.0,10.0
0.0,10.0
0.0,10.0
0.0,10.0
10.0,0.0
8.538209230580712,1.461790769419288
8.830034631947214,0.0
10.0,0.0
5.513481854833156,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-4.0319159202702455,10.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
-10.0,0.0
0.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,10.0
-10.0,10.0
-10.0,0.0
-10.0,0.0
2.863535365604035,0.0
0.0,0.0
-10.0,0.0
1.4436619935541657,0.0
1.9691043420094454,0.0
4.32179617261011,0.0
8.94701098843764,0.0
10.0,0.0
6.801545749276915,0.0
8.769532757941656,0.0
8.633483505455693,0.0
10.0,0.0
0.0,10.0
0.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
-10.0,10.0
8.658093255507932,0.0
-1.6726258988786782,10.0
-1.7152855663900262,10.0
